"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","12/113","99/9260",0.121212121212121,9.93295789755967,9.93169484139358,2.29283836859241e-09,5.15888632933293e-07,4.89943356657115e-07,"FCGR2A/DEFA1/DEFA3/DEFA1B/CAMP/C5AR1/FCGR3B/FPR2/FPR1/HLA-DRB4/FCGR1A/FCAR",12
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","10/113","195/9260",0.0512820512820513,4.20240526435217,5.02332892807857,0.000128744311000519,0.0144837349875584,0.0137553132279502,"TLR8/FCGR2A/CAMP/C5AR1/AQP9/FCGR3B/FPR2/NCF2/FPR1/FCGR1A",10
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/113","100/9260",0.07,5.73628318584071,5.29263383306956,0.000210284932888161,0.0157713699666121,0.0149781899565954,"MME/CD33/IL1R2/CD36/HLA-DRB4/FCGR1A/CSF3R",7
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","6/113","78/9260",0.0769230769230769,6.30360789652825,5.22795679644255,0.000363521759588324,0.0204480989768432,0.0194197150516921,"FCGR2A/PTGS2/FCGR3B/NCF2/HLA-DRB4/FCGR1A",6
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","8/113","155/9260",0.0516129032258065,4.22951755638025,4.5065630141335,0.000595853020600291,0.0268133859270131,0.0254648764593387,"LAMP2/FCGR2A/FCGR3B/CD36/NCF2/HLA-DRB4/FCGR1A/FCAR",8
